Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Supplico la gentilezza del Signor Braccio mio Signore a compiacerti...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 172, c. 252r<br/>
</td>","Michelozzi, Antonio, sec. XVII,(citato.)Compagni, Braccio, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Compagni Braccio,22/12/1663,Chiusi,,Compagni Braccio,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Sono due ordinari che non tengo vostre, non so donde...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 173, c. 253r<br/>
</td>","Molara, Bruto della, 1639-1685,(citato.)Magalotti, Lorenzo, 1637-1712,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Viviani Francesco,22/12/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Accuso su le 8 ore di notte tre vostre ricevute oggi...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 174, c. 254r<br/>
</td>","Michelozzi, Antonio, sec. XVII,(citato.)Viviani, Francesco, sec. XVII,(destinatario.)",Varia,Viviani Vincenzo a Viviani Francesco,25/12/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Dal corriere che parte in questo punto...""A c. 257v: probatio calami
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 175, c. 256r<br/>
</td>","Viviani, Francesco, sec. XVII,(destinatario.)",Varia,Viviani Vincenzo a Viviani Francesco,31/12/1663,Chiusi,Firenze,Viviani Francesco,1663
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Insomma la disgrazia s'è attraversata alle mie Fortune...""Minuta
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 176, c. 258r-259v<br/>
</td>","Marucelli, sec. XVII,(destinatario.)",Notizie di libri,Viviani Vincenzo a Marucelli,1/01/1664,Firenze,Parigi,Marucelli,1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Tornarono di Roma quei libri più tosto storpiati che ben legati...""A c. 264r-265v copia della stessa lettera con varianti
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 177, c. 261r-264r<br/>
</td>","Molara, Bruto della, 1639-1685,(destinatario.)Rontini, sec. XVII,(citato.)Marucelli, Giovan Filippo, 1628-1680,(citato.)Resi,(citato.)Falconieri, Ottavio, 1646-1676,(citato.)",Notizie di libri,Viviani Vincenzo a Molara Bruto (della),1/01/1664,Firenze,Pisa,Molara Bruto (della),1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Insomma io non trovo né Piacenza, né Roma...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 178, c. 266r-267r<br/>
</td>",,Notizie di libri,Viviani Vincenzo a [non identificato],3/01/1664,Firenze,,[non identificato],1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Ella bene, ed io benissimo. Dal suo gran merito...""Minuta. Alle cc. 269r-v copia della stessa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 179, c. 268r<br/>
</td>","Colbert, Jean Baptiste, 1619-1683,(citato.)Molara, Bruto della, 1639-1685,(destinatario.)",Varia,Viviani Vincenzo a Molara Bruto (della),9/01/1664,Firenze,,Molara Bruto (della),1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Ecco finalmente, lodato Iddio, la cassetta la quale...""A c. 271 bozza della stessa lettera
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 180, c. 272r-274v<br/>
</td>","Marucelli, sec. XVII,(destinatario.)Rontini, sec. XVII,(citato.)Medici, Leopoldo de', 1617-1675,(citato.)Colbert, Jean Baptiste, 1619-1683,(citato.)",Notizie di libri,Viviani Vincenzo a Marucelli,9/01/1664,Firenze,Parigi,Marucelli,1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""Doppo aver consegnato il piego per Vostra Signoria Illustrissima...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 181, c. 275r<br/>
</td>","Dati, Carlo Roberto, 1619-1676,(citato.)Marucelli, sec. XVII,(destinatario.)",Varia,Viviani Vincenzo a Marucelli,9/01/1664,Firenze,Parigi,Marucelli,1664
Viviani Vincenzo,"Tipologia: letteraIncipit: ""S'io non avessi certezza della bontà impareggiabile di Vostra Signoria...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '22151')"">Gal. 157  </a>  doc. 182, c. 276r-v<br/>
</td>","Cerchi, Alessandro, sec. XVII,(destinatario.)",Argomenti privati,Viviani Vincenzo a Cerchi Alessandro,9/01/1664,Firenze,,Cerchi Alessandro,1664
