Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Tomati Lapi Maddalena,"Tipologia: letteraIncipit: ""Non diedi parte a Vostra Signoria Illustrissima della perdita dolorosa da me fatta ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 29, c. 44r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Lapi Maddalena a Viviani Vincenzo,28/12/1680,Roma,Firenze,Viviani Vincenzo,1680
Ricci Michelangelo,"Tipologia: letteraIncipit: ""Accresce Vostra Signoria Illustrissima il cumulo delle mie obbligazioni con l'annunzio ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 30, c. 45r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Ricci Michelangelo a Viviani Vincenzo,28/12/1680,Roma,Firenze,Viviani Vincenzo,1680
Bimbacci Niccolò,"Tipologia: letteraIncipit: ""Il Serenissimo Signor Principe mio Signore mandò ieri semplicemente à vedere ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 31, c. 46r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Bimbacci Niccolò a Viviani Vincenzo,18/01/1681,,Firenze,Viviani Vincenzo,1681
Tomati Giovanni Domenico,"Tipologia: letteraIncipit: ""Dal Signor Annibale Rilli giorni sono mi furono consegnati li tre libri , che Vostra Signoria Illustrissima ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 32, c. 48r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Tomati Giovanni Domenico a Viviani Vincenzo,18/01/1681,Roma,Firenze,Viviani Vincenzo,1681
Viviani Francesco,"Tipologia: letteraIncipit: ""Questo Signor Domenico a riceuto due lettere da codesto Signor Senatore Buonaccorsi ...""Accluso (c. 50r) un elenco di cose che gli occorrono
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 33, c. 49r-51v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Viviani Francesco a Viviani Vincenzo,4/02/1681,Tangeri,Firenze,Viviani Vincenzo,1681
Tomansi Leopoldo,"Tipologia: letteraIncipit: ""Conforme al desiderio di Vostra Signoria non ho tralasciato di portare ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 34, c. 52r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomansi Leopoldo a Viviani Vincenzo,18/02/1681,Livorno,Firenze,Viviani Vincenzo,1681
Tomati Lapi Maddalena,"Tipologia: letteraIncipit: ""Il desiderio, che nodrisco della buona salute di Vostra Signoria Illustrissima ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 35, c. 53r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Lapi Maddalena a Viviani Vincenzo,15/03/1681,Roma,Firenze,Viviani Vincenzo,1681
Saminiati Baccio,"Tipologia: letteraIncipit: ""Sono superflui li stimoli per promovere l'obligato mio animo ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 36, c. 54r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Saminiati Baccio a Viviani Vincenzo,21/03/1681,,Firenze,Viviani Vincenzo,1681
Biringucci Pietro,"Tipologia: letteraIncipit: ""Corrisponde Vostra Signoria con misura più conforme alla gentilezza del suo animo ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 37, c. 56r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Biringucci Pietro a Viviani Vincenzo,26/03/1681,Ambrogiana,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Io vorrei sentire che Vostra Signoria Illustrissima restasse affatto libera ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 38, c. 58r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,26/03/1681,Campestri,Firenze,Viviani Vincenzo,1681
Roti Michele,"Tipologia: letteraIncipit: ""Nel ricevere la cortesissima lettera di Vostra Signoria Illustrissima dal vedere il suo carattere ...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 39, c. 59r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Roti Michele a Viviani Vincenzo,2/04/1681,Campestri,Firenze,Viviani Vincenzo,1681
Tomati Ottavio,"Tipologia: letteraIncipit: ""L'impareggiabile benignità di Vostra Signoria Illustrissima hà voluto farmi copiosamente godere ...""Firma autografa
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23981')"">Gal. 166  </a>  doc. 40, c. 60r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Tomati Ottavio a Viviani Vincenzo,5/04/1681,Roma,Firenze,Viviani Vincenzo,1681
