Expéditeur,Notes,References,Noms cités,Sujet,Titre,Date,Provenance,Destination,Destinataire,Year
Manni  Federigo  sec. XVII,"Tipologia: letteraIncipit: ""Il primo del presente mese fu letta in magistratura la sua discussione intorno al Pescino...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 75, c. 131r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Idraulica,Manni Federigo a Viviani Vincenzo,4/06/1667,Pistoia,Firenze,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Accuso una vostra scrittami di Siena e godo che siate fin lì giunto...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 76, c. 133r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,9/06/1667,Firenze,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Accuso una vostra di Sarzana, ma non sento che in ella venga confermata la speranza...""A c. 135r lungo poscritto
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 77, c. 134r-135r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,16/06/1667,Firenze,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Non ho mai da avere una lettera di vostro che mi dica fra pochi giorni ci rivedremo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 78, c. 136r-137v<br/>
</td>","Chigi, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,21/06/1667,Firenze,,Viviani Vincenzo,1667
Ricci  Michelangelo  1619-1682,"Tipologia: letteraIncipit: ""mando finalmente a Vostra Signoria la licenza di leggere i libri proibiti inviatami, confermata per tre anni...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 79, c. 138r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Notizie di libri,Ricci Michelangelo a Viviani Vincenzo,19/07/1667,Roma,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Si domanda perchè molte volte, che piove, prima che intorbidi il fiume d'Arno...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 80, c. 139r<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Idraulica,Molara Bruto (della) a Viviani Vincenzo,22/07/1667,,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Ringraziamo Dio, che questa volta ultima, mi da un poco di buona nuova...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 81, c. 141r-v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,5/08/1667,Firenze,,Viviani Vincenzo,1667
Dell'Ara  Paolo  sec. XVII,"Tipologia: letteraIncipit: ""Ricevo questo ordinario con la gentilissima di Vostra Signoria Illustrissima del 15 luglio...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 82, c. 142r<br/>
</td>","La Planche, de, sec. XVII,(citato.)Chapelain, Jean, 1595-1674,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Dell'Ara Paolo a Viviani Vincenzo,5/08/1667,Parigi,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Già che non ebbi hier sera tempo di scrivere, e sento che questa mattina ci sia una staffetta...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 83, c. 143r-v<br/>
</td>","Medici, Leopoldo de', 1617-1675,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Astronomia,Molara Bruto (della) a Viviani Vincenzo,9/08/1667,Firenze,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""O quando ha egli da finir questo bordello sempre mi dice il Serrati che presto presto, ma però mai vi vedo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 84, c. 145r<br/>
</td>","Serrati, Lorenzo, sec. XVII,(citato.)Vitelli,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,29/08/1667,Firenze,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""Finalmente mi toccò andarmene a Artimino senza rivedervi e questo è stato un poco troppo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 85, c. 146r-147v<br/>
</td>","Viviani, Vincenzo, 1622-1703,(destinatario.)Ferdinando II, granduca di Toscana, 1610-1670,(citato.)",Astronomia,Molara Bruto (della) a Viviani Vincenzo,8/09/1667,Firenze,,Viviani Vincenzo,1667
Michelozzi  Antonio  sec. XVII,"Tipologia: letteraIncipit: ""Feci assegnar venerdì un termine di giorni sei al Signor Lorenzo Gherardini ad haverla condotta sul luogo...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 86, c. 148r<br/>
</td>","Gherardini, Lorenzo, sec. XVII,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Michelozzi Antonio a Viviani Vincenzo,10/09/1667,,,Viviani Vincenzo,1667
Molara  Bruto della  1639-1685,"Tipologia: letteraIncipit: ""E' giunto il Capitano Sampieri a 22 ore oggi con il calesse si può dire opera del Signor Francesco...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 87, c. 150r<br/>
</td>","Viviani, Francesco, sec. XVII,(citato.)Sampieri,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Argomenti privati,Molara Bruto (della) a Viviani Vincenzo,23/09/1667,Artimino,Firenze,Viviani Vincenzo,1667
Micalori  Giovanni Battista  sec. XVII,"Tipologia: letteraIncipit: ""Sono mesi che inviai a Vostra Signoria Eccellentissima la nota di quelli disegni e quadri che il Serenissimo Principe...""
","<td class=""fieldValue""><img border=""0"" src=""https://opac.museogalileo.it/imss//img/freccia7xx.gif""/><a href=""javascript:goColombo('https://opac.museogalileo.it/imss/', '23372')"">Gal. 163  </a>  doc. 88, c. 152r-v<br/>
</td>","Medici, Leopoldo de', 1617-1675,(citato.)Barocci, Federico, 1535-1612,(citato.)Viviani, Vincenzo, 1622-1703,(destinatario.)",Pittura,Micalori Giovanni Battista a Viviani Vincenzo,8/10/1667,Cagli,Firenze,Viviani Vincenzo,1667
